id,title,alternative_title,description,tasks,soft_skill,hard_skill,job_zone,majors,typical_industries,in_demand,hazard,physical_activity,decision_making,time_pressure
"114","Chemical Equipment Operators and Tenders","","","Observe safety precautions to prevent fires or explosions.
Record operational data, such as temperatures, pressures, ingredients used, processing times, or test results.
Control or operate equipment in which chemical changes or reactions take place during the processing of industrial or consumer products.
Patrol work areas to detect leaks or equipment malfunctions or to monitor operating conditions.
Draw samples of products at specified stages so that analyses can be performed.
Adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.
Monitor gauges, recording instruments, flowmeters, or products to ensure that specified conditions are maintained.
Test product samples for specific gravity, chemical characteristics, pH levels, concentrations, or viscosities, or send them to laboratories for testing.
Inspect equipment or units to detect leaks or malfunctions, shutting equipment down, if necessary.
Open valves or start pumps, agitators, reactors, blowers, or automatic feed of materials.","Operations Monitoring
Operation and Control","","","","","","","","",""
"115","Chemical Plant and System Operators","","","Monitor recording instruments, flowmeters, panel lights, or other indicators and listen for warning signals to verify conformity of process conditions.
Regulate or shut down equipment during emergency situations, as directed by supervisory personnel.
Control or operate chemical processes or systems of machines, using panelboards, control boards, or semi-automatic equipment.
Move control settings to make necessary adjustments on equipment units affecting speeds of chemical reactions, quality, or yields.
Inspect operating units, such as towers, soap-spray storage tanks, scrubbers, collectors, or driers to ensure that all are functioning and to maintain maximum efficiency.
Draw samples of products and conduct quality control tests to monitor processing and to ensure that standards are met.
Record operating data, such as process conditions, test results, or instrument readings.
Patrol work areas to ensure that solutions in tanks or troughs are not in danger of overflowing.
Turn valves to regulate flow of products or byproducts through agitator tanks, storage drums, or neutralizer tanks.
Interpret chemical reactions visible through sight glasses or on television monitors and review laboratory test reports for process adjustments.","Operation and Control
Operations Monitoring","","","","","","","","",""
"116","Chemical Technicians","","","Work under the supervision of chemical engineers in research, development and manufacture
Work in a laboratory to help develop new products based on various raw materials or chemicals
Sample and test raw materials, ensuring records are updated
Produce a wide range of chemical-based materials like dyes, fertilisers, fuels, petrochemicals and pharmaceuticals
Help with the design, construction and installation of the plant and machinery
Operate, maintain and test plant and machinery, fixing faults when necessary
Make sure production processes are operating properly, adjusting controls and recording data
Responsible for quality control and inspecting the final product
Use computer models to analyse and translate formulas into larger scale processes
","Active Listening
Writing
Monitoring
Reading Comprehension
Critical Thinking
Science","","","","","","Moderate","high","Moderate","High"
"117","Chemists","","","Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.
Prepare test solutions, compounds, or reagents for laboratory personnel to conduct tests
Direct, coordinate, or advise personnel in test procedures for analyzing components or physical properties of materials.
Induce changes in composition of substances by introducing heat, light, energy, or chemical catalysts for quantitative or qualitative analysis
Conduct quality control tests.
Develop, improve, or customize products, equipment, formulas, processes, or analytical methods
Purchase laboratory supplies, such as chemicals, when supplies are low or near their expiration date.
Maintain laboratory instruments to ensure proper working order and troubleshoot malfunctions when needed.

","Active Listening
Mathematics
Reading Comprehension
Critical Thinking
Science","","","","","","Moderate","Moderate","Moderate","Moderate"
"118","Chemistry Teachers, Postsecondary","","","","Instructing
Complex Problem Solving
Active Listening
Science
Critical Thinking
Active Learning
Learning Strategies
Monitoring
Reading Comprehension
Writing
Speaking","","","","","","Moderate","Low","Low","Moderate"
"119","Chief Executives","","","Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.
Appoint department heads or managers and assign or delegate responsibilities to them.
Prepare budgets for approval, including those for funding or implementation of programs.
Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.
Implement corrective action plans to solve organizational or departmental problems.
Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.
Establish departmental responsibilities and coordinate functions among departments and sites.
Organize or approve promotional campaigns.
Serve as liaisons between organizations, shareholders, and outside organizations.
","Management of Material Resources
Writing
Active Learning
Time Management
Reading Comprehension
Active Listening
Monitoring
Persuasion
Negotiation
Systems Analysis
Systems Evaluation
Management of Financial Resources
Social Perceptiveness
Coordination
Management of Personnel Resources
Speaking
Critical Thinking
Complex Problem Solving
Judgment and Decision Making","","","","","","Moderate","Low","High","High"
"120","Child, Family, and School Social Workers","","","Interview clients individually, in families, or in groups, assessing their situations, capabilities, and problems to determine what services are required to meet their needs.
Develop and review service plans in consultation with clients and perform follow-ups assessing the quantity and quality of services provided.
Counsel parents with child rearing problems, interviewing the child and family to determine whether further action is required.
Consult with parents, teachers, and other school personnel to determine causes of problems, such as truancy and misbehavior, and to implement solutions.
Counsel individuals, groups, families, or communities regarding issues including mental health, poverty, unemployment, substance abuse, physical abuse, rehabilitation, social adjustment, child care, or medical care.
Arrange for medical, psychiatric, and other tests that may disclose causes of difficulties and indicate remedial measures.
Refer clients to community resources for services, such as job placement, debt counseling, legal aid, housing, medical treatment, or financial assistance, and provide concrete information, such as where to go and how to apply.
","Monitoring
Complex Problem Solving
Reading Comprehension
Service Orientation
Judgment and Decision Making
Critical Thinking
Social Perceptiveness
Speaking
Active Listening","","","","","","Moderate","Moderate","High","High"
"121","Childcare Workers","","","","","","","","","","Moderate","High","Low","Low"
"122","Chiropractors","","","Create developmentally appropriate lesson plans.
Instruct children in health and personal habits, such as eating, resting, and toilet habits.
Read to children and teach them simple painting, drawing, handicrafts, and songs.
Organize and participate in recreational activities and outings, such as games and field trips.
Discipline children and recommend or initiate other measures to control behavior, such as caring for own clothing and picking up toys and books.
Dress children and change diapers.
Observe and monitor children's play activities.
Identify signs of emotional or developmental problems in children and bring them to parents' or guardians' attention.
Keep records on individual children, including daily observations and information about activities, meals served, and medications administered.
Organize and store toys and materials to ensure order in activity areas.Sanitize toys and play equipment.
Assist in preparing food and serving meals and refreshments to children.
Perform housekeeping duties, such as laundry, cleaning, dish washing, and changing of linens.
","Reading Comprehension
Speaking
Critical Thinking
Active Listening","","","","","","Low","Moderate","High","Low"
"123","Choreographers","","","Diagnose health problems by reviewing patients' health and medical histories, questioning, observing, and examining patients and interpreting x-rays.
Analyze x-rays to locate the sources of patients' difficulties and to rule out fractures or diseases as sources of problems.
Evaluate the functioning of the neuromuscularskeletal system and the spine using systems of chiropractic diagnosis.
Perform a series of manual adjustments to the spine or other articulations of the body to correct the musculoskeletal system.
Advise patients about recommended courses of treatment.
Suggest and apply the use of supports such as straps, tapes, bandages, or braces if necessary.
Counsel patients about nutrition, exercise, sleeping habits, stress management, or other matters.","Monitoring
Coordination
Active Listening
Speaking
Instructing","","","","","","Moderate","High","Moderate","Moderate"
"124","Civil Engineers","","","Design dances for individual dancers, dance companies, musical theatre, opera, fashion shows, film, television productions, and special events, and for dancers ranging from beginners to professionals
Develop ideas for creating dances, keeping notes and sketches to record influences
Direct rehearsals to instruct dancers in how to use dance steps, and in techniques to achieve desired effects
Teach students, dancers, and other performers about rhythm and interpretive movement.
Advise dancers on how to stand and move properly, teaching correct dance techniques to help prevent injuries.
Choose the music, sound effects, or spoken narrative to accompany a dance
Train, exercise, and attend dance classes to maintain high levels of technical proficiency, physical ability, and physical fitness.
Audition performers for dance roles","Reading Comprehension
Speaking
Mathematics
Critical Thinking
Complex Problem Solving
Active Listening","","","","","","","","",""
"125","Civil Engineering Technologists and Technicians","","","Inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.
Compute load and grade requirements, water flow rates, or material stress factors to determine design specifications.
Provide technical advice to industrial or managerial personnel regarding design, construction, program modifications, or structural repairs.
Test soils or materials to determine the adequacy and strength of foundations, concrete, asphalt, or steel.
Manage and direct the construction, operations, or maintenance activities at project site.
Direct or participate in surveying to lay out installations or establish reference points, grades, or elevations to guide construction.
Estimate quantities and cost of materials, equipment, or labor to determine project feasibility.
Plan and design transportation or hydraulic systems or structures, using computer-assisted design or drawing tools.
Prepare or present public reports on topics such as bid proposals, deeds, environmental impact statements, or property and right-of-way descriptions.
Design energy-efficient or environmentally sound civil structures.","Critical Thinking","","","","","","","","",""
"126","Claims Adjusters, Examiners, and Investigators","","","Calculate dimensions, square footage, profile and component specifications, and material quantities using calculator or computer.
Read and review project blueprints and structural specifications to determine dimensions of structure or system and material requirements.
Draft detailed dimensional drawings and design layouts for projects and to ensure conformance to specifications.
Confer with supervisor to determine project details such as plan preparation, acceptance testing, and evaluation of field conditions.
Analyze proposed site factors and design maps, graphs, tracings, and diagrams to illustrate findings.
Prepare reports and document project activities and data.
Report maintenance problems occurring at project site to supervisor and negotiate changes to resolve system conflicts.
Inspect project site and evaluate contractor work to detect design malfunctions and ensure conformance to design specifications and applicable codes.
Conduct materials test and analysis using tools and equipment and applying engineering knowledge.
Develop plans and estimate costs for installation of systems, utilization of facilities, or construction of structures.","Speaking
Active Listening
Critical Thinking
Reading Comprehension","","","","","","","","",""
"127","Cleaner of Vehicles and Equipment","","","Examine claims forms and other records to determine insurance coverage.
Review police reports, medical treatment records, medical bills, or physical property damage to determine the extent of liability.
Investigate and assess damage to property and create or review property damage estimates.
Interview or correspond with agents and claimants to correct errors or omissions and to investigate questionable claims.
Pay and process claims within designated authority level.
Present cases and participate in their discussion at claim committee meetings.
Communicate with reinsurance brokers to obtain information necessary for processing claims.
Negotiate claim settlements or recommend litigation when settlement cannot be negotiated.
Prepare reports to be submitted to company's data processing department.","","","","","","","","","",""
"128","Cleaning, Washing, and Metal Pickling Equipment Operator and Tender","","","Clean and polish vehicle windows.
Scrub, scrape, or spray machine parts, equipment, or vehicles, using scrapers, brushes, clothes, cleaners, disinfectants, insecticides, acid, abrasives, vacuums, or hoses.
Apply paints, dyes, polishes, reconditioners, waxes, or masking materials to vehicles to preserve, protect, or restore color or condition.
Inspect parts, equipment, or vehicles for cleanliness, damage, and compliance with standards or regulations.
Maintain inventories of supplies.
Press buttons to activate cleaning equipment or machines.
Monitor operation of cleaning machines and stop machines or notify supervisors when malfunctions occur.
Mix cleaning solutions, abrasive compositions, or other compounds, according to formulas.
Turn valves or handles on equipment to regulate pressure or flow of water, air, steam, or abrasives from sprayer nozzles.
Rinse objects and place them on drying racks or use cloth, squeegees, or air compressors to dry surfaces.","","","","","","","","","",""
"129","Clergy","","","Add specified amounts of chemicals to equipment at required times to maintain solution levels and concentrations.
Observe machine operations, gauges, or thermometers, and adjust controls to maintain specified conditions.
Set controls to regulate temperature and length of cycles, and start conveyors, pumps, agitators, and machines.
Drain, clean, and refill machines or tanks at designated intervals, using cleaning solutions or water.
Operate or tend machines to wash and remove impurities from items such as barrels or kegs, glass products, tin plate surfaces, dried fruit, pulp, animal stock, coal, manufactured articles, plastic, or rubber.
Record gauge readings, materials used, processing times, or test results in production logs.
Examine and inspect machines to detect malfunctions.
Measure, weigh, or mix cleaning solutions, using measuring tanks, calibrated rods or suction tubes.
Draw samples for laboratory analysis, or test solutions for conformance to specifications, such as acidity or specific gravity.
Adjust, clean, and lubricate mechanical parts of machines, using hand tools and grease guns.","Active Learning
Persuasion
Negotiation
Instructing
Judgment and Decision Making
Reading Comprehension
Writing
Social Perceptiveness
Service Orientation
Active Listening
Speaking","","","","","","Low","Moderate","High","Low"
"130","Climate Policy Analysts","","","Pray and promote spirituality.
Read from sacred texts, such as the Bible, Torah, or Koran.
Prepare and deliver sermons or other talks.
Organize and lead regular religious services.
Plan or lead religious education programs.
Instruct people who seek conversion to a particular faith.
Study and interpret religious laws, doctrines, or traditions.
Conduct special ceremonies, such as weddings, funerals, or confirmations.
Share information about religious issues by writing articles, giving speeches, or teaching.
Perform administrative duties, such as overseeing building management, ordering supplies, contracting for services or repairs, or supervising the work of staff members or volunteers.","Writing
Speaking
Active Listening
Critical Thinking
Reading Comprehension","","","","","","","Low","Moderate","Moderate"
"131","Clinical Data Managers","","","Propose new or modified policies involving use of traditional and alternative fuels, transportation of goods, and other factors relating to climate and climate change.
Make legislative recommendations related to climate change or environmental management, based on climate change policies, principles, programs and practices
Prepare study reports, memoranda, briefs, testimonies, or other written materials to inform government or environmental groups on environmental issues such as climate change.
Provide analytical support for policy briefs related to renewable energy, energy efficiency, or climate change.
Review existing policies or legislation to identify environmental impacts.
Develop, or contribute to the development of, educational or outreach programs on the environment or climate change.
Prepare grant applications to obtain funding for programs related to climate change, environmental management, or sustainability.
Write reports or academic papers to communicate findings of climate-related studies.","Reading Comprehension
Active Listening
Speaking
Critical Thinking","","","","","","Low","Low","Low","Moderate"
"132","Clinical and Counseling Psychologists","","","Design and validate clinical databases, including designing or testing logic checks.
Process clinical data, including receipt, entry, verification, or filing of information.
Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.
Develop project-specific data management plans that address areas such as coding, reporting, or transfer of data, database locks, and work flow processes.
Perform quality control audits to ensure accuracy, completeness, or proper usage of clinical systems and data.
Analyze clinical data using appropriate statistical tools to generate user-friendly reports to help physicians and clinical operations leadership understand practice patterns, trends in utilization, and ongoing evaluation of organizational improvements.
Develop technical specifications for data management programming and communicate needs to information technology staff.","Monitoring
Writing
Speaking
Social Perceptiveness
Active Listening
Critical Thinking
Reading Comprehension","","","","","","Low","Low","high","Low"
"133","Clinical Research Coordinators","","","assess your clients' needs, abilities or behaviour using a variety of methods, including psychometric tests, interviews and direct observation of their behaviour
devise, monitor and adapt appropriate treatment programmes, including therapy, counselling or advice for issues relating to a range of mental health conditions
develop and evaluate service provision for clients
provide consultation to other professions, encouraging a psychological approach in their work
carry out applied research, adding to the evidence base of practice in a variety of healthcare settings.","Speaking
Coordination
Reading Comprehension
Active Listening
Writing","","","","","","Low","Low","m","Moderate"
"134","CNC Programmer*","","","Assess eligibility of potential subjects through methods such as screening interviews, reviews of medical records, or discussions with physicians and nurses.
Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.
Perform specific protocol procedures such as interviewing subjects, taking vital signs, and performing electrocardiograms.
Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.
Direct the requisition, collection, labeling, storage, or shipment of specimens.
Code, evaluate, or interpret collected study data.
Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.
Participate in preparation and management of research budgets and monetary disbursements.
Participate in the development of study protocols including guidelines for administration or data collection procedures.
Collaborate with researchers to prepare presentations or reports of clinical study procedures, results, and conclusions.
","","","","","","","Moderate","Moderate","Moderate","Moderate"
"135","Coaches and Scouts","","","Write programs in the language of a machine's controller and store programs on media, such as punch tapes, magnetic tapes, or disks
Determine the sequence of machine operations, and select the proper cutting tools needed to machine workpieces into the desired shapes
Revise programs or tapes to eliminate errors, and retest programs to check that problems have been solved
Analyze job orders, drawings, blueprints, specifications, printed circuit board pattern films, and design data to calculate dimensions, tool selection, machine speeds, and feed rates
Write instruction sheets and cutter lists for a machine's controller to guide setup and encode numerical control tapes
Enter computer commands to store or retrieve parts patterns, graphic displays, or programs that transfer data to other media","Active Learning
Coordination
Persuasion
Complex Problem Solving
Systems Analysis
Time Management
Management of Personnel Resources
Reading Comprehension
Active Listening
Critical Thinking
Social Perceptiveness
Judgment and Decision Making
Learning Strategies
Monitoring
Speaking
Instructing","","","","","","Moderate","High","Moderte","Moderate"
"136","Coating, Painting, and Spraying Machine Setter, Operator, and Tender","","","Provide training direction, encouragement, motivation, and nutritional advice to prepare athletes for games, competitive events, or tours.
Plan and direct physical conditioning programs that will enable athletes to achieve maximum performance.
Instruct individuals or groups in sports rules, game strategies, and performance principles, such as specific ways of moving the body, hands, or feet, to achieve desired results.
Counsel student athletes on academic, athletic, and personal issues.
Evaluate athletes' skills and review performance records to determine their fitness and potential in a particular area of athletics.
Analyze the strengths and weaknesses of opposing teams to develop game strategies.
Plan strategies and choose team members for individual games or sports seasons.
Coordinate travel arrangements and travel with team to away contests.
Arrange and conduct sports-related activities, such as training camps, skill-improvement courses, clinics, and pre-season try-outs.
Oversee the development and management of the sports program budget and fundraising activities.
Identify and recruit potential athletes by sending recruitment letters, meeting with recruits, and arranging and offering incentives, such as athletic scholarships.
File scouting reports that detail player assessments, provide recommendations on athlete recruitment, and identify locations and individuals to be targeted for future recruitment efforts.","","","","","","","","","",""
"137","Coil Winder, Taper, and Finisher","","","Hold or position spray guns to direct spray onto articles.
Fill hoppers, reservoirs, troughs, or pans with material used to coat, paint, or spray, using conveyors or pails.
Start and stop operation of machines, using levers or buttons.
Determine paint flow, viscosity, and coating quality by performing visual inspections, or by using viscometers.
Attach hoses or nozzles to machines, using wrenches and pliers, and make adjustments to obtain the proper dispersion of spray.
Turn dials, handwheels, valves, or switches to regulate conveyor speeds, machine temperature, air pressure and circulation, and the flow or spray of coatings or paints.
Observe machine gauges and equipment operation to detect defects or deviations from standards, and make adjustments as necessary.
Examine, measure, weigh, or test sample products to ensure conformance to specifications.
Thread or feed items or products through or around machine rollers and dryers.
Weigh or measure chemicals, coatings, or paints before adding them to machines.","","","","","","","","","",""
"138","Coin, Vending, and Amusement Machine Servicer and Repairer","","","Operate or tend wire-coiling machines to wind wire coils used in electrical components such as resistors and transformers, and in electrical equipment and instruments such as bobbins and generators.
Attach, alter, and trim materials such as wire, insulation, and coils, using hand tools.
Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers.
Review work orders and specifications to determine materials needed and types of parts to be processed.
Select and load materials such as workpieces, objects, and machine parts onto equipment used in coiling processes.
Record production and operational data on specified forms.
Stop machines to remove completed components, using hand tools.
Examine and test wired electrical components such as motors, armatures, and stators, using measuring devices, and record test results.
Line slots with sheet insulation, and insert coils into slots.
Apply solutions or paints to wired electrical components, using hand tools, and bake components.","","","","","","","","","",""
"139","Commercial and Industrial Designers","","","Fill machines with products, ingredients, money, and other supplies.
Inspect machines and meters to determine causes of malfunctions and fix minor problems such as jammed bills or stuck products.
Test machines to determine proper functioning.
Replace malfunctioning parts, such as worn magnetic heads on automatic teller machine (ATM) card readers.
Maintain records of machine maintenance and repair.
Clean and oil machine parts.
Order parts needed for machine repairs.
Adjust and repair coin, vending, or amusement machines and meters and replace defective mechanical and electrical parts, using hand tools, soldering irons, and diagrams.
Record transaction information on forms or logs, and notify designated personnel of discrepancies.
Keep records of merchandise distributed and money collected.","Reading Comprehension
Active Listening","","","","","","Moderate","Low","High","Moderate"
"140","Commercial Divers","","","Participate in new product planning or market research, including studying the potential need for new products.
Prepare sketches of ideas, detailed drawings, illustrations, artwork, or blueprints, using drafting instruments, paints and brushes, or computer-aided design equipment.
Use computer software to develop virtual models of different designs.
Research production specifications, costs, production materials, and manufacturing methods and provide cost estimates and itemized production requirement.
Work with other specialists to evaluate whether their design concepts will fill the need at a reasonable cost
Evaluate feasibility of design ideas, based on factors such as appearance, safety, function, serviceability, budget, production costs/methods, and market characteristics 
Present designs and demonstrate prototypes to clients for approval","Critical Thinking","","","","","","","","",""
"141","Commercial Pilots","","","Check and maintain diving equipment, such as helmets, masks, air tanks, harnesses, or gauges.
Communicate with workers on the surface while underwater, using signal lines or telephones.
Descend into water with the aid of diver helpers, using scuba gear or diving suits.
Obtain information about diving tasks and environmental conditions.
Supervise or train other divers, including hobby divers.
Inspect the condition of underwater steel or wood structures.
Inspect and test docks, ships, buoyage systems, plant intakes or outflows, or underwater pipelines, cables, or sewers, using closed circuit television, still photography, and testing equipment.
Repair ships, bridge foundations, or other structures below the water line, using caulk, bolts, and hand tools.
Recover objects by placing rigging around sunken objects, hooking rigging to crane lines, and operating winches, derricks, or cranes to raise objects.
Operate underwater video, sonar, recording, or related equipment to investigate underwater structures or marine life.","Active Listening
Critical Thinking
Monitoring
Operations Monitoring
Operation and Control","","","","","","","","",""
"142","Communications Teachers, Postsecondary","","","Use instrumentation to pilot aircraft when visibility is poor.
Start engines, operate controls, and pilot airplanes to transport passengers, mail, or freight according to flight plans, regulations, and procedures.
Monitor engine operation, fuel consumption, and functioning of aircraft systems during flights.
Check aircraft prior to flights to ensure that the engines, controls, instruments, and other systems are functioning properly.
Consider airport altitudes, outside temperatures, plane weights, and wind speeds and directions to calculate the speed needed to become airborne.
Contact control towers for takeoff clearances, arrival instructions, and other information, using radio equipment.
Obtain and review data such as load weights, fuel supplies, weather conditions, and flight schedules to determine flight plans and identify needed changes.
File instrument flight plans with air traffic control so that flights can be coordinated with other air traffic.
Check baggage or cargo to ensure that it has been loaded correctly.
Order changes in fuel supplies, loads, routes, or schedules to ensure safety of flights.","Critical Thinking
Writing
Active Learning
Learning Strategies
Reading Comprehension
Active Listening
Speaking
Instructing","","","","","","","","",""
"143","Community Health Workers","","","Advise clients or community groups on issues related to improving general health, such as diet or exercise or self-care such as diabetes managemen
Conduct home visits for pregnant women, newborn infants, or other high-risk individuals to monitor their progress or assess their needs.
Perform basic diagnostic procedures, such as blood pressure screening, breast cancer screening, or communicable disease screening.
Administer immunizations or other basic preventive treatments.
Identify the particular health care needs of individuals in a community or target area.
Develop plans for individuals, families, or community groups to improve overall health.
Collect information from individuals to compile vital statistics about the general health of community members.
Refer community members to needed health services.
Transport or accompany clients to scheduled health appointments or referral sites.
Report incidences of child or elder abuse, neglect, or threats of harm to authorities, as required.
","Reading Comprehension
Service Orientation
Writing
Active Listening
Speaking
Social Perceptiveness","","","","","","Moderate","Moderate","Moderte","Low"
"144","Compensation and Benefits specialists","","","Assist in the day-to-day management of the company’s various benefit programs including pension, medical, dental, vision, life and Workers’ Compensation
Act as a point of contact for escalated employee benefit questions
Support budgeting process during the annual planning process
Assist with the design and development of benefit policies and plans.
Provide guidance and direction for compensation changes and maintain salary structures
Analyze the budget impact of compensation decisions.
Develop compensation analytics and metrics reports for Compensation COE and HR team members.
Assist with the development and delivery of compensation program and policy communications","Critical Thinking","","","","","","Low","Low","Moderate","Low"
"145","Compliance Managers","","","Develop or implement environmental compliance plans for programs, such as air quality, storm water, wastewater treatment, hazardous waste management, pollution prevention, or solid waste management.
Direct the development or implementation of policies and procedures related to compliance throughout an organization.
Conduct periodic internal reviews or audits to ensure that compliance procedures are followed.
Identify compliance issues that require follow-up or investigation.
Report violations of compliance or regulatory standards to duly authorized enforcement agencies as appropriate or required.
Develop risk management strategies based on assessment of product, compliance, or operational risks.
Provide employee training on compliance related topics, policies, or procedures.
Serve as a confidential point of contact for employees to communicate with management, seek clarification on issues or dilemmas, or report irregularities.","Active Listening
Writing
Speaking
Reading Comprehension
Critical Thinking","","","","","","Low","Moderate","High","High"
"146","Compliance Officers","","","Visit establishments to verify that valid licenses or permits are displayed and that licensing standards are being upheld.
Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.
Score tests and observe equipment operation and control to rate ability of applicants.
Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.
Report law or regulation violations to appropriate boards or agencies.
Issue licenses to individuals meeting standards.
Warn violators of infractions or penalties.
Prepare reports of activities, evaluations, recommendations, or decisions.
","Reading Comprehension
Speaking
Active Listening","","","","","","","","",""
"147","Computer and Information Systems Managers","","","Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.
Consult with users, management, vendors, and technicians to assess computing needs and system requirements.
Review and approve all systems charts and programs prior to their implementation.
Evaluate data processing proposals to assess project feasibility and requirements.
Assign and review the work of systems analysts, programmers, and other computer-related workers.
Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.
Prepare and review operational reports or project progress reports.
Control operational budget and expenditures.
Recruit, hire, train and supervise staff, or participate in staffing decisions.","Speaking
Monitoring
Judgment and Decision Making
Reading Comprehension
Active Listening
Critical Thinking","","","","","","Low","low","High","Low"
"148","Computer Hardware Engineers","","","Design and develop hardware components including circuit boards, processors, and memory cards.
Test hardware components individually and in tandem with external computer systems.
Analyze systems data in order to make changes to the hardware configuration.
Complete functionality and performance tests on final product.
Design hardware for computer-related products such as routers and smart devices.
Create specifications and documents for components and completed computer systems.
Collaborate with software developers to ensure the hardware functions for its intended purpose.
Oversee manufacturing process of hardware components.","Active Listening
Writing
Speaking
Complex Problem Solving
Reading Comprehension
Critical Thinking","","","","","","Low","Low","Low","Low"
"149","Computer Network Support Specialists","","","Configure security settings or access permissions for groups or individuals.
Analyze and report computer network security breaches or attempted breaches.
Identify the causes of networking problems, using diagnostic testing software and equipment.
Configure wide area network (WAN) or local area network (LAN) routers or related equipment.
Install network software, including security or firewall software.
Troubleshoot network or connectivity problems for users or user groups.
Provide telephone support related to networking or connectivity issues.
Evaluate local area network (LAN) or wide area network (WAN) performance data to ensure sufficient availability or speed, to identify network problems, or for disaster recovery purposes.
Analyze network data to determine network usage, disk space availability, or server function.
Perform routine maintenance or standard repairs to networking components or equipment.","","","","","","","","","",""
"150","Computer Numerically Controlled Tool Operators","","","Measure dimensions of finished workpieces to ensure conformance to specifications, using precision measuring instruments, templates, and fixtures.
Mount, install, align, and secure tools, attachments, fixtures, and workpieces on machines, using hand tools and precision measuring instruments.
Stop machines to remove finished workpieces or to change tooling, setup, or workpiece placement, according to required machining sequences.
Transfer commands from servers to computer numerical control (CNC) modules, using computer network links.
Check to ensure that workpieces are properly lubricated and cooled during machine operation.
Set up and operate computer-controlled machines or robots to perform one or more machine functions on metal or plastic workpieces.
Insert control instructions into machine control units to start operation.
Review program specifications or blueprints to determine and set machine operations and sequencing, finished workpiece dimensions, or numerical control sequences.
Listen to machines during operation to detect sounds such as those made by dull cutting tools or excessive vibration, and adjust machines to compensate for problems.
Remove and replace dull cutting tools.","Operations Monitoring
Programming","","","","","","","","",""
"151","Computer Programmers","","","Write programs in a variety of computer languages, such as C++ and Java
Update and expand existing programs
Test programs for errors and fix the faulty lines of computer code
Create and test code in an integrated development environment (IDE)
Use code libraries, which are collections of independent lines of code, to simplify the writing","Programming","","","","","","Low","Low","Low","Moderate"
"152","Computer Science Teachers, Postsecondary","","","","Active Listening
Critical Thinking
Active Learning
Learning Strategies
Judgment and Decision Making
Reading Comprehension
Writing
Speaking
Instructing","","","","","","Low","Low","Moderte","Moderate"
"153","Computer Scientists","","","Explore fundamental issues in computation and develop theories and models to address those issues
Help scientists and engineers solve complex computing problems
Invent new computing languages, tools, and methods to improve the way in which people work with computers
Develop and improve the software systems that form the basis of the modern computing experience
Design experiments to test the operation of these software systems
Analyze the results of your experiments
Publish your findings in academic journals","Critical Thinking
Complex Problem Solving
Judgment and Decision Making","","","","","","Low","Low","Low","Moderate"
"154","Computer Systems Analysts","","","Analyse clients' existing IT systems and business models
understand software development lifecycles
translate client requirements into highly specified project briefs
identify options for potential solutions and assess them for both technical and business suitability
conduct requirements analysis and prepare specific proposals for modified or replacement systems
work closely with programmers, developers, testers and a variety of end users to ensure technical compatibility and user satisfaction
draw up, supervise and document testing schedules for complete systems
oversee implementation of a new system including data migration
support users on change control and system updates
provide training and user manuals to users of a new system
","Reading Comprehension
Active Listening
Critical Thinking","","","","","","Low","Low","Low","Moderate"
"155","Computer Systems Engineers","","","Research network infrastructure requirements and demands.
Plan hardware and software configurations for new installations.
Plan and implement upgrades to hardware and software in existing installations.
Install, test, maintain and optimise computer networks and server systems.
Analyze, monitor and optimise current system performance.
Run diagnostics and maintain records of faults and fixes.
Provide ongoing technical support, maintenance and troubleshooting to network users.
Interpret system design briefs and architecture specifications, models and diagrams for development of computer networks.","Writing
Complex Problem Solving
Systems Analysis
Active Listening
Systems Evaluation
Reading Comprehension
Critical Thinking","","","","","","Low","Low","Moderate","Moderate"
"156","Computer, Automated Teller, and Office Machine RepairerS","","","Reassemble machines after making repairs or replacing parts.
Converse with customers to determine details of equipment problems.
Disassemble machines to examine parts, such as wires, gears, or bearings for wear or defects, using hand or power tools and measuring devices.
Advise customers concerning equipment operation, maintenance, or programming.
Align, adjust, or calibrate equipment according to specifications.
Repair, adjust, or replace electrical or mechanical components or parts, using hand tools, power tools, or soldering or welding equipment.
Travel to customers' stores or offices to service machines or to provide emergency repair service.
Maintain parts inventories and order any additional parts needed for repairs.
Operate machines to test functioning of parts or mechanisms.
Reinstall software programs or adjust settings on existing software to fix machine malfunctions.","","","","","","","","","",""
